audio_clipping,audio_clipping:confidence,background_noise_audible,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id
no_clipping,1,light_noise,1,3.33,audible_speaker,1,43453425,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43453425_58166571.wav&key=test_key_TISTK,1249120_43453425_58166571.wav,When I remember her I feel down,Emotional pain,21665495
light_clipping,0.6803,no_noise,0.6803,3.33,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_43347848.wav&key=test_key_TISTK,1249120_43719934_43347848.wav,When I carry heavy things I feel like breaking my back,Hair falling out,44088126
no_clipping,1,no_noise,0.6655,3.33,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_53187202.wav&key=test_key_TISTK,1249120_43719934_53187202.wav,there is too much pain when i move my arm,Heart hurts,44292353
no_clipping,1,light_noise,1,3.33,audible_speaker,1,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_55816195.wav&key=test_key_TISTK,1249120_31349958_55816195.wav,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,43755034
no_clipping,1,no_noise,1,4.67,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_82524191.wav&key=test_key_TISTK,1249120_43719934_82524191.wav,My muscles in my lower back are aching,Infected wound,21665495
no_clipping,1,no_noise,1,3,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_51348478.wav&key=test_key_TISTK,1249120_40663048_51348478.wav,"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache,44130352
no_clipping,1,no_noise,1,3.67,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_42741720.wav&key=test_key_TISTK,1249120_40663048_42741720.wav,I have muscle pain in my left leg,Shoulder pain,43913997
no_clipping,1,no_noise,1,4.25,audible_speaker,1,15004831,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_15004831_21919890.wav&key=test_key_TISTK,1249120_15004831_21919890.wav,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports,43318517
no_clipping,0.6978,no_noise,1,3.67,audible_speaker,1,14353703,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_14353703_93481996.wav&key=test_key_TISTK,1249120_14353703_93481996.wav,I have acne in my face and other problems in my derma like itching,Skin issue,44066678
no_clipping,1,no_noise,0.6879,3.33,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_85316490.wav&key=test_key_TISTK,1249120_43719934_85316490.wav,I have a strange rash on my arm,Foot ache,44130352
no_clipping,1,light_noise,1,3.33,audible_speaker,1,44197979,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44197979_23991689.wav&key=test_key_TISTK,1249120_44197979_23991689.wav,I have a sharp pain in my lower stomach.,Stomach ache,14026697
no_clipping,1,no_noise,1,3.67,audible_speaker,1,40401830,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40401830_91347010.wav&key=test_key_TISTK,1249120_40401830_91347010.wav,i have a knee pain when i walk a lot,Knee pain,21665495
no_clipping,1,no_noise,1,3,audible_speaker,1,33905644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_33905644_94419450.wav&key=test_key_TISTK,1249120_33905644_94419450.wav,dr. I feel a strange and powerful pain inside my rib cage,Heart hurts,13121046
no_clipping,0.6609,light_noise,0.3391,3,audible_speaker,0.6735,44174241,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44174241_12756709.wav&key=test_key_TISTK,1249120_44174241_12756709.wav,Don't cry,Joint pain,44118742
no_clipping,1,no_noise,1,3.67,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_59137120.wav&key=test_key_TISTK,1249120_40663048_59137120.wav,I have for dia,Heart hurts,44130352
no_clipping,1,light_noise,0.3416,4,audible_speaker,0.6716,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_81563216.wav&key=test_key_TISTK,1249120_43105396_81563216.wav,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,44130352
no_clipping,1,no_noise,1,4,audible_speaker,1,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_86760636.wav&key=test_key_TISTK,1249120_40663048_86760636.wav,i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,44150058
no_clipping,1,light_noise,0.6854,3.33,audible_speaker,1,44415714,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44415714_12774994.wav&key=test_key_TISTK,1249120_44415714_12774994.wav,I read a book for along time and when I finished reading I feel head ache,Head ache,43949040
no_clipping,1,no_noise,0.6579,3.33,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_42637884.wav&key=test_key_TISTK,1249120_43719934_42637884.wav,i cant sleep because of cold,Injury from sports,44150058
no_clipping,1,light_noise,0.6479,3.67,audible_speaker,1,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_85779128.wav&key=test_key_TISTK,1249120_43105396_85779128.wav,My infected wound cause fever,Skin issue,44140394
no_clipping,1,no_noise,1,3,audible_speaker,1,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_88984375.wav&key=test_key_TISTK,1249120_43719934_88984375.wav,I lose a lot of my hair,Body feels weak,42082009
